Landkreis,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlGenesen
LK Neuburg-Schrobenhausen,09185,540,18,437
LK Neumarkt i.d.OPf.,09373,649,17,568
LK Neunkirchen,10043,514,12,354
LK Neustadt a.d.Aisch-Bad Windsheim,09575,325,6,299
LK Neustadt a.d.Waldnaab,09374,1024,75,866
LK Neuwied,07138,662,5,459
LK Nienburg (Weser),03256,209,4,130
LK Nordfriesland,01054,179,2,150
LK Nordhausen,16062,82,2,75
LK Nordsachsen,14730,349,0,257
LK Nordwestmecklenburg,13074,165,1,155
LK Northeim,03155,338,6,209
LK Nürnberger Land,09574,907,44,776
LK Oberallgäu,09780,375,8,290
LK Oberbergischer Kreis,05374,1117,19,957
LK Oberhavel,12065,510,10,419
LK Oberspreewald-Lausitz,12066,131,2,87
LK Odenwaldkreis,06437,548,63,436
LK Oder-Spree,12067,371,5,249
LK Offenbach,06438,1770,46,1338
LK Oldenburg,03458,658,14,522
LK Olpe,05966,954,57,805
LK Ortenaukreis,08317,2043,126,1485
LK Osnabrück,03459,1832,70,1537
LK Ostalbkreis,08136,2107,45,1866
LK Ostallgäu,09777,841,40,681
LK Osterholz,03356,247,0,206
LK Ostholstein,01055,224,0,151
LK Ostprignitz-Ruppin,12068,141,0,117
LK Paderborn,05774,1008,35,905
LK Passau,09275,1035,31,816
LK Peine,03157,352,13,291
LK Pfaffenhofen a.d.Ilm,09186,617,21,510
LK Pinneberg,01056,1031,47,856
LK Plön,01057,179,8,162
LK Potsdam-Mittelmark,12069,757,38,660
LK Prignitz,12070,88,0,52
LK Rastatt,08216,881,19,712
LK Ravensburg,08436,1008,7,894
LK Recklinghausen,05562,3297,48,2443
LK Regen,09276,379,12,241
LK Regensburg,09375,842,17,749
LK Rems-Murr-Kreis,08119,2772,99,2214
LK Rendsburg-Eckernförde,01058,421,14,364
LK Reutlingen,08415,2239,82,1821
LK Rhein-Erft-Kreis,05362,2330,82,1869
LK Rhein-Hunsrück-Kreis,07140,266,6,228
LK Rhein-Kreis Neuss,05162,1913,28,1415
LK Rhein-Lahn-Kreis,07141,267,7,221
LK Rhein-Neckar-Kreis,08226,2004,41,1720
LK Rhein-Pfalz-Kreis,07338,496,5,381
LK Rhein-Sieg-Kreis,05382,2777,57,2023
LK Rheingau-Taunus-Kreis,06439,708,8,560
LK Rheinisch-Bergischer Kreis,05378,1085,24,807
LK Rhön-Grabfeld,09673,328,9,297
LK Rosenheim,09187,2938,201,2461
LK Rostock,13072,134,3,106
LK Rotenburg (Wümme),03357,392,3,333
LK Roth,09576,442,7,366
LK Rottal-Inn,09277,1123,51,846
LK Rottweil,08325,841,26,768
LK Saale-Holzland-Kreis,16074,161,4,118
LK Saale-Orla-Kreis,16075,233,12,199
LK Saalekreis,15088,243,7,182
LK Saalfeld-Rudolstadt,16073,122,0,108
LK Saar-Pfalz-Kreis,10045,573,18,454
LK Saarlouis,10044,881,24,721
LK Salzlandkreis,15089,176,2,135
LK Sankt Wendel,10046,390,6,219
LK Schaumburg,03257,362,7,323
LK Schleswig-Flensburg,01059,237,5,202
LK Schmalkalden-Meiningen,16066,257,7,207
LK Schwalm-Eder-Kreis,06634,784,39,671
LK Schwandorf,09376,655,21,596
LK Schwarzwald-Baar-Kreis,08326,900,35,707
LK Schweinfurt,09678,866,25,672
LK Schwäbisch Hall,08127,1357,60,1148
LK Segeberg,01060,610,7,506
LK Siegen-Wittgenstein,05970,961,8,796
LK Sigmaringen,08437,950,36,867
LK Soest,05974,762,11,628
LK Sonneberg,16072,332,25,300
LK Spree-Neiße,12071,147,0,93
LK Stade,03359,413,9,376
LK Stadtverband Saarbrücken,10041,1644,114,1299
LK Starnberg,09188,919,13,805
LK Steinburg,01061,256,3,230
LK Steinfurt,05566,2143,94,1849
LK Stendal,15090,144,6,122
LK Stormarn,01062,755,35,649
LK Straubing-Bogen,09278,672,29,607
LK Sächsische Schweiz-Osterzgebirge,14628,687,2,447
LK Sömmerda,16068,129,2,80
LK Südliche Weinstraße,07337,226,4,188
LK Südwestpfalz,07340,185,3,147
LK Teltow-Fläming,12072,359,13,292
LK Tirschenreuth,09377,1296,142,1092
LK Traunstein,09189,1576,88,1393
LK Trier-Saarburg,07235,488,12,421
LK Tuttlingen,08327,753,25,625
LK Tübingen,08416,1823,60,1553
LK Uckermark,12073,73,2,59
LK Uelzen,03360,107,0,101
LK Unna,05978,2022,45,1471
LK Unstrut-Hainich-Kreis,16064,161,4,116
LK Unterallgäu,09778,620,18,429
LK Vechta,03460,970,14,739
LK Verden,03361,464,8,396
LK Viersen,05166,1209,37,989
LK Vogelsbergkreis,06535,227,6,188
LK Vogtlandkreis,14523,853,30,722
LK Vorpommern-Greifswald,13075,260,8,211
LK Vorpommern-Rügen,13073,164,2,129
LK Vulkaneifel,07233,216,5,146
LK Waldeck-Frankenberg,06635,341,5,278
LK Waldshut,08337,517,35,414
LK Warendorf,05570,1386,21,1139
LK Wartburgkreis,16063,165,2,142
LK Weilheim-Schongau,09190,587,3,485
LK Weimarer Land,16071,172,6,147
LK Weißenburg-Gunzenhausen,09577,495,25,434
LK Werra-Meißner-Kreis,06636,327,16,282
LK Wesel,05170,1835,33,1519
LK Wesermarsch,03461,267,8,220
LK Westerwaldkreis,07143,695,23,609
LK Wetteraukreis,06440,852,14,661
LK Wittenberg,15091,254,3,237
LK Wittmund,03462,84,0,81
LK Wolfenbüttel,03158,264,14,225
LK Wunsiedel i.Fichtelgebirge,09479,830,46,742
LK Würzburg,09679,768,7,625
LK Zollernalbkreis,08417,1490,78,1352
LK Zwickau,14524,1300,53,975
Region Hannover,03241,5252,138,4073
SK Amberg,09361,160,4,135
SK Ansbach,09561,212,8,192
SK Aschaffenburg,09661,227,1,206
SK Augsburg,09761,1556,16,1151
SK Baden-Baden,08211,292,19,209
